Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Taman Wisata Glugut,3.6,14,Tourist attraction,49CV+V67,Bantul,Taman Wisata Glugut Tourist attraction Bantul ,-7.8778259,110.3930547
Desa Wisata Kajii (Dewi Kajii - Edukasi Ikan Hias),4.9,29,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Desa Wisata Kajii (Dewi Kajii - Edukasi Ikan Hias) Tourist attraction Bantul ,-7.8964729,110.310276
Watu Mabur Lemahbang Rock Cliff,4.5,682,Tourist attraction,Lemahbang RT28,Bantul,Watu Mabur Lemahbang Rock Cliff Tourist attraction Bantul ,-7.947121,110.441
Potrobayan Tourism Village,4.6,205,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Potrobayan Tourism Village Tourist attraction Bantul ,-7.9569061,110.3598158
Jane Kebon,,,Tourist attraction,"Embung Julantoro, Karangnongko, Jl. Pelemsewu",Bantul,Jane Kebon Tourist attraction Bantul ,-7.8381815,110.3556216
Panorama Alam,,,Tourist attraction,47RF+73Q,Bantul,Panorama Alam Tourist attraction Bantul ,-7.8748176,110.3255365
Seribu batu,4.7,48,Tourist attraction,3C9J+H97,Bantul,Seribu batu Tourist attraction Bantul ,-7.9310976,110.4309118
Goa Selarong,4.3,2661,Tourist attraction,48Q7+6W9,Bantul,Goa Selarong Tourist attraction Bantul ,-7.8619643,110.314867
Wisata Kali Oya,4.6,40,Tourist attraction,3C3G+MP2,Bantul,Wisata Kali Oya Tourist attraction Bantul ,-7.9458555,110.4267637
Gunung Mungker,4.3,446,Tourist attraction,Pencitrejo,Bantul,Gunung Mungker Tourist attraction Bantul ,-7.8758728,110.4578762
Alas Beku,,,Tourist attraction,29JM+CCQ,Bantul,Alas Beku Tourist attraction Bantul ,-7.9689198,110.383608
Tembi Rumah Budaya,4.4,3176,Hotel,Jl. Parangtritis No.Km 8.4,Bantul,Tembi Rumah Budaya Hotel Bantul ,-7.8700932,110.3562056
Desa Wisata PUTON,4.4,13,Tourist attraction,39WJ+C57,Bantul,Desa Wisata PUTON Tourist attraction Bantul ,-7.90396,110.3804128
Edum Park Tegaldowo,4.6,776,Park,Jl. Grujugan No.RT.03,Bantul,Edum Park Tegaldowo Park Bantul ,-7.8664788,110.3221921
Pantai Pakde,4.6,19,Tourist attraction,"494P+JQ7, Unnamed Road",Bantul,Pantai Pakde Tourist attraction Bantul ,-7.8934671,110.3869343
Mengger hill Trimulyo,4.5,183,Tourist attraction,495W+468,Bantul,Mengger hill Trimulyo Tourist attraction Bantul ,-7.8922101,110.395564
Bulak Ngebuan View,4.5,51,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta · In Pandes 2",Bantul,Bulak Ngebuan View Tourist attraction Bantul ,-7.859303,110.3805501
Taman Jati Larangan,4.4,154,Amusement park,"4895+PVJ, Jl. Guwosari Raya",Bantul,Taman Jati Larangan Amusement park Bantul ,-7.8800916,110.3104809
Dewi Gumi (Gunung Mijil) Petilasan Pangeran Diponegoro,4.5,129,Tourist attraction,Jl. Gandekan Raya,Bantul,Dewi Gumi (Gunung Mijil) Petilasan Pangeran Diponegoro Tourist attraction Bantul ,-7.8685284,110.3221375
Taman Girli Indah,4.4,59,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Taman Girli Indah Tourist attraction Bantul ,-7.9516711,110.3658441
Embung Selopamioro,4,87,Tourist attraction,29XX+JX7,Bantul,Embung Selopamioro Tourist attraction Bantul ,-7.9509565,110.3999162
Selfie Park Jogja,4.4,1012,Tourist attraction,"Yogyakarta City, Special Region of Yogyakarta · In XT Square",Bantul,Selfie Park Jogja Tourist attraction Bantul ,-7.8161887,110.3868189
Sungai Oya,4.7,46,Tourist attraction,2CWF+CRH,Bantul,Sungai Oya Tourist attraction Bantul ,-7.9559428,110.3658007
Wisata Bukit Platar,4.2,14,Tourist attraction,Karangrejek RT 02,Bantul,Wisata Bukit Platar Tourist attraction Bantul ,-7.9449062,110.3945348
Omah Kontainer,4.5,42,Tourist attraction,"Jl. Raya Sultan Agung Dusun Glondong, RT06/35 No.57A",Bantul,Omah Kontainer Tourist attraction Bantul ,-7.8671886,110.3803612
Bukit Songgolo Nawungan,4.5,71,Tourist attraction,jl siluk - panggang Nawungan 2,Bantul,Bukit Songgolo Nawungan Tourist attraction Bantul ,-7.9706873,110.4089716
Kampung Dolikan,5,1,Tourist attraction,"Dolikan RT 07 , Dukuh",Bantul,Kampung Dolikan Tourist attraction Bantul ,-7.8731725,110.3315473
Songgo langit wisata,4.6,27,Tourist attraction,3C9J+FQW,Bantul,Songgo langit wisata Tourist attraction Bantul ,-7.9312709,110.4319397
La Li Sa Farmer's Village Jogja,4.5,153,Tourist attraction,Jl. Wates No.km 14,Bantul,La Li Sa Farmer's Village Jogja Tourist attraction Bantul ,-7.8200598,110.2418908
Wisata tengah sawah desa miri,5,1,Tourist attraction,396C+6C,Bantul,Wisata tengah sawah desa miri Tourist attraction Bantul ,-7.9394394,110.3711005
Tourism Village Duchy,4.4,42,Tourist attraction,"Yogyakarta City, Special Region of Yogyakarta",Bantul,Tourism Village Duchy Tourist attraction Bantul ,-7.8061119,110.3564396
Lampions Exotic,4.4,21,Tourist attraction,"37FM+3V8, Unnamed Road, Tirto",Bantul,Lampions Exotic Tourist attraction Bantul ,-7.9273472,110.2847176
Omah Muni,4.7,9,Tourist attraction,Jl. Dr. Supomo. Sh No.381,Bantul,Omah Muni Tourist attraction Bantul ,-7.8910521,110.3199357
Obyek Wisata Goa Banyunibo,4.8,4,Tourist attraction,"3CFW+H3P, Jl. Kembang",Bantul,Obyek Wisata Goa Banyunibo Tourist attraction Bantul ,-7.9260337,110.4451951
History Of Java Museum (HOJM),4.5,452,Museum,Jl. Parangtritis Km 5.5 ( Pyramid Cafe) Tarudan Bangunharjo Sewon Bantul Regency Special Region of Yogyakarta Tarudan,Bantul,History Of Java Museum (HOJM) Museum Bantul ,-7.8439029,110.362261
Pelangi Park,4.4,982,Playground,497Q+8QW,Bantul,Pelangi Park Playground Bantul ,-7.8866677,110.3894468
Leksa Ganesha Batik Art Gallery,4.8,84,Art gallery,Jl. Parangtritis Jl. Tembi No.KM 8.5,Bantul,Leksa Ganesha Batik Art Gallery Art gallery Bantul ,-7.8719651,110.3535769
TAMAN GROUNDSILL BENDUNG TEGAL,4.2,11,Tourist attraction,Jl. Mamriyan,Bantul,TAMAN GROUNDSILL BENDUNG TEGAL Tourist attraction Bantul ,-7.9341898,110.3653539
Desa Wisata Pentingsari,4.5,1054,Tourist attraction,"Sleman Regency, Special Region of Yogyakarta",Bantul,Desa Wisata Pentingsari Tourist attraction Bantul ,-7.6428597,110.4295754
Gerbang Pleret,4.3,34,Tourist attraction,49JX+6VH,Bantul,Gerbang Pleret Tourist attraction Bantul ,-7.8693291,110.3997539
"Sacred Heart of Jesus Catholic Church, Ganjuran",4.9,12182,Tourist attraction,Jl. Ganjuran,Bantul,"Sacred Heart of Jesus Catholic Church, Ganjuran Tourist attraction Bantul ",-7.9264582,110.319129
Oya Trail,4.7,25,Tourist attraction,"Bantul Regency, Special Region of Yogyakarta",Bantul,Oya Trail Tourist attraction Bantul ,-7.9589861,110.4297879
Gunung Tambalan,4.2,110,Tourist attraction,Tambalan,Bantul,Gunung Tambalan Tourist attraction Bantul ,-7.9194826,110.3056228
BANYU WIYOSO DAGEN (Kolam Ikan),5,2,Tourist attraction,4846+WH5,Bantul,BANYU WIYOSO DAGEN (Kolam Ikan) Tourist attraction Bantul ,-7.8927345,110.3114727
Patirtan Kamulyan,4.5,24,Religious destination,"4986+VCJ, Bangeran",Bantul,Patirtan Kamulyan Religious destination Bantul ,-7.8827917,110.3610271
Wisata Pereng Kelor,,,Tourist attraction,3F2G+8W9,Bantul,Wisata Pereng Kelor Tourist attraction Bantul ,-7.9492126,110.4773579
