Nama,Rating,Ulasan,Jenis,Alamat,Kota,Full Address,Latitude,Longitude
Kodim 0729 / Bantul,4.4,26,Military board,Jl. A Yani No 1 Melikan Kidul Bantul,Bantul,Kodim 0729 / Bantul Military board Bantul ,-7.8804952,110.3346881
SEDOT WC BANTUL,5,1,Sewage treatment plant,"48HX+92W, Jl. Moh. Qoribun",Bantul,SEDOT WC BANTUL Sewage treatment plant Bantul ,-7.8836159,110.3166485
Bantul State Court,4.4,184,City courthouse,Jl. Prof. Dr. Supomo. Sh No.4,Bantul,Bantul State Court City courthouse Bantul ,-7.8911398,110.3249421
Instalasi Produksi Unit Imogiri,,,Water treatment plant,"484W+468, Jalan Wahidin Sudiro Husudo",Bantul,Instalasi Produksi Unit Imogiri Water treatment plant Bantul ,-7.8947156,110.3455676
Balai Pengelolaan Insfrastruktur Sanitasi Air Minum Perkotaan (Balai PISAMP),4.7,3,Sewage treatment plant,48QM+MWC,Bantul,Balai Pengelolaan Insfrastruktur Sanitasi Air Minum Perkotaan (Balai PISAMP) Sewage treatment plant Bantul ,-7.8608052,110.3347556
Kantor Pos Pelemsewu,4.1,10,Corporate office,"5954+PGC, Jl. Ds. Sawit",Bantul,Kantor Pos Pelemsewu Corporate office Bantul ,-7.8406984,110.3562791
SAMSAT SEWON,4.6,332,License bureau,Jl. Parangtritis No.km. 5,Bantul,SAMSAT SEWON License bureau Bantul ,-7.8416158,110.3625748
Village Office Gilangharjo,4.5,17,Government office,Jl. Samas No.2,Bantul,Village Office Gilangharjo Government office Bantul ,-7.9197892,110.3119234
Bantul Police Resort Office,4.5,1627,Police station,Jl. Jend. Sudirman No.202,Bantul,Bantul Police Resort Office Police station Bantul ,-7.8900282,110.3268964
Dinas Sosial Bantul,3.9,47,City district office,"38VX+XV8, Komplek II Perkantoran Pemerintah, Jl. Lkr. Timur Jl. Manding Kidul In Komplek Pemda II Kabupaten Bantul",Bantul,Dinas Sosial Bantul City district office Bantul ,-7.9050841,110.3497123
Koramil 0729/04 Sewon,5,2,Army facility,"No.5Tarudan, Jl. Parangtritis",Bantul,Koramil 0729/04 Sewon Army facility Bantul ,-7.8417876,110.3628796
Dinas Ketahanan Pangan dan Pertanian Kabupaten Bantul,4.4,39,City district office,"38WX+897, JL. Ring Road Timur, Komplek II Perkantoran Pemkab Bantul, Manding",Bantul,Dinas Ketahanan Pangan dan Pertanian Kabupaten Bantul City district office Bantul ,-7.9042123,110.3484152
PDAM Bantul Unit Instalasi Produksi Kaliputih,3.3,3,Water treatment plant,48XX+P5R,Bantul,PDAM Bantul Unit Instalasi Produksi Kaliputih Water treatment plant Bantul ,-7.8506435,110.3478867
Plaza telkom,4,466,Tax collector's office,Jl. Wahidin Sudiro Husudo No.70,Bantul,Plaza telkom Tax collector's office Bantul ,-7.8926897,110.33552
JAMKESDA BANTUL,4,6,Public medical center,Jl. Marsda Adisucipto No.53,Bantul,JAMKESDA BANTUL Public medical center Bantul ,-7.895955,110.336996
Puskesmas Banguntapan II,2.8,133,Public medical center,Jl. Pasopati No.99,Bantul,Puskesmas Banguntapan II Public medical center Bantul ,-7.8445613,110.3836127
